Entity Type,True Positives,False Positives,False Negatives,Precision,Recall,F1-Score
UPI,200,0,0,1.0,1.0,1.0
CARD,195,5,5,0.975,0.975,0.975
DATE,200,11,0,0.9479,1.0,0.9732
IFSC,200,11,0,0.9479,1.0,0.9732
PHONE,192,8,8,0.96,0.96,0.96
BANK_ACCOUNT,178,3,22,0.9834,0.89,0.9344
PAN,186,23,14,0.89,0.93,0.9095
AADHAAR,176,32,24,0.8462,0.88,0.8627
CVV,200,84,0,0.7042,1.0,0.8264
EMAIL,100,2,100,0.9804,0.5,0.6623
PERSON,9,5,191,0.6429,0.045,0.0841
AMOUNT,0,200,200,0.0,0.0,0.0
ADDRESS,0,0,200,0.0,0.0,0.0
URL,0,16,0,0.0,0.0,0.0
