Language,True Positives,False Positives,False Negatives,Precision,Recall,F1-Score
English,137,60,71,0.6954,0.6587,0.6765
Hindi,149,27,59,0.8466,0.7163,0.776
Kannada,145,31,63,0.8239,0.6971,0.7552
Marathi,134,30,61,0.8171,0.6872,0.7465
Tamil,145,37,63,0.7967,0.6971,0.7436
Telugu,152,24,56,0.8636,0.7308,0.7917
Malayalam,143,25,52,0.8512,0.7333,0.7879
Gujarati,125,38,70,0.7669,0.641,0.6983
Bengali,142,23,53,0.8606,0.7282,0.7889
Odia,143,29,52,0.8314,0.7333,0.7793
Punjabi,141,26,54,0.8443,0.7231,0.779
Assamese,140,25,55,0.8485,0.7179,0.7778
Urdu,140,25,55,0.8485,0.7179,0.7778
